name	lambda	mu1	mu2	sigma1	sigma2	sigma3	sigma4
alpha	0.385265705663709	297.7349393979399	-40.85897791340232	22.205821643180826	-7.151751724054662	-7.151751724054662	41.98170990242741
beta	0.2411552256369374	230.16603371546177	139.82712078773582	460.4614854019982	-326.2694851494807	-326.2694851494807	444.00639868958183
gamma	0.0020024719489029038	80	-70	30	0	0	300
"gamma~""'"""	0.011004994266674652	275	90	30	0	0	300
delta	0.1698754064299523	279.0711546364744	-15.3722862887631	258.9353086087288	-147.55676546658609	-147.55676546658609	319.41342707398917
"delta~""'"""	0.05299752804596136	74.64016319881239	17.00454770935333	278.0411281848664	-279.2619991563513	-279.2619991563513	390.4137936136998
zeta	0.005	230	90	30	0	0	300
epsilon	0.001	150	200	900	0	0	300
P[II]	0.15	279.7296315280789	139.609736227065	450	-300	-300	450
"P[II]~""'"""	0.06	89.04599961894547	204.5139191306398	450	-300	-300	450

